Latitude,Longitude,Total dead+missing,Main ID,Region,Incident date,Year,Month,Dead,Missing,Total,Females,Males,Children,Country of Origin,Region of Origin,Cause of Death,Country of Incident,Migration route,Location description,Information Source,URL,Source Quality
35.7218583,51.3346954,1,2025.MMP1403,Southern Asia,01/06/2025,2025,June,1,0,1,0,1,0,Afghanistan,Southern Asia,Accidental death,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
35.7218583,51.3346954,1,2025.MMP1404,Southern Asia,01/06/2025,2025,June,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
35.8438581,50.9714995,1,2025.MMP1405,Southern Asia,01/06/2025,2025,June,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Karaj district, Alborz province, Iran",IOM Afghanistan,,4
35.7218583,51.3346954,1,2025.MMP1406,Southern Asia,01/06/2025,2025,June,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
28.93306926,-11.08830155,8,2025.MMP0821,Northern Africa,01/07/2025,2025,July,1,7,8,,,,Unknown,Sub-Saharan Africa,Drowning,Morocco,Western Africa / Atlantic route to the Canary Islands,"Unspecified location off the coasts of Tantan, Morocco","Hibapress, Nichanealane","https://perma.cc/HNF8-9F2J, https://perma.cc/WWA8-C553",3
31.03025424,61.490003,8,2025.MMP0866,Southern Asia,01/07/2025,2025,July,8,0,8,,1,,Afghanistan,Southern Asia,Mixed or unknown,Iran (Islamic Republic of),,"One of the detention camps near Zabol, Sistan and Baluchestan province, Iran","Khaama Press, BBC, Afghanistan International","https://perma.cc/S4EE-CP6S, https://perma.cc/C74M-R54H, https://perma.cc/9VVT-Z7QZ",3
52.27753884,23.20220275,1,2025.MMP0947,Europe,01/07/2025,2025,July,1,0,1,,1,,Unknown,Unknown,Drowning,Poland,Belarus-EU border,"Remains found in the Bug River in an unspecified location near the village of Stary Bubel, Poland close to the Belarus border","TVN24, Czaban robi raban","https://perma.cc/3RJ2-KNTL, https://perma.cc/7R25-SDLT",3
35.7218583,51.3346954,1,2025.MMP1726,Southern Asia,01/07/2025,2025,July,1,0,1,0,1,0,Afghanistan,Southern Asia,Violence,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
35.7218583,51.3346954,1,2025.MMP1727,Southern Asia,01/07/2025,2025,July,1,0,1,0,1,0,Afghanistan,Southern Asia,Accidental death,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
35.7218583,51.3346954,1,2025.MMP1728,Southern Asia,01/07/2025,2025,July,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
32.87358892,12.54033597,4,2025.MMP0865,Mediterranean,01/08/2025,2025,August,,4,4,,,,Unknown,Unknown,Mixed or unknown,Libya,Central Mediterranean,"Unspecified location off the coasts of Mara Della, Al-Zawiyah, Libya",IOM Libya,,4
28.51348972,-100.4551375,1,2025.MMP0912,Central America,01/08/2025,2025,August,1,0,1,,1,,Unknown,Latin America / Caribbean (P),Mixed or unknown,Mexico,US-Mexico border crossing,"Ranch in Ejido El Saucito,Guererro, Coahuila, Mexico",Vanguardia,https://perma.cc/ZGA6-54NK,1
28.66312339,-100.5013294,1,2025.MMP0913,Central America,01/08/2025,2025,August,1,0,1,,1,,Unknown,Latin America / Caribbean (P),Drowning,Mexico,US-Mexico border crossing,"Rio Bravo close to Rancho Las Adjuntas,Piedras Negras, Coahuila, Mexico",ZÃ³calo,https://perma.cc/7GZB-8Z5W,1
12.269356,43.355999,1,2025.MMP1040,Eastern Africa,01/08/2025,2025,August,1,0,1,1,0,0,Ethiopia,Eastern Africa,"Harsh environmental conditions / lack of adequate shelter, food, water",Djibouti,Eastern Route to/from EHOA,"Obock, Djibouti",IOM Djibouti mobile team,,4
35.7218583,51.3346954,1,2025.MMP1805,Southern Asia,01/08/2025,2025,August,1,0,1,0,1,0,Afghanistan,Southern Asia,Vehicle accident / death linked to hazardous transport,Iran (Islamic Republic of),Afghanistan to Iran,"Tehran district, Tehran province, Iran",IOM Afghanistan,,4
37.5498061,45.0786282,1,2025.MMP1806,Southern Asia,01/08/2025,2025,August,1,0,1,0,1,0,Afghanistan,Southern Asia,Violence,Iran (Islamic Republic of),Iran to TÃ¼rkiye,"Urmia district, West_Azerbaijan province, Iran",IOM Afghanistan,,4
32.42025205,14.96178456,1,2025.MMP2405,Mediterranean,01/08/2025,2025,August,1,0,1,,,,Unknown,Unknown,Mixed or unknown,Libya,Central Mediterranean,"Remains washed ashore in Al-Arar area, Misrata, Libya",Migrant Rescue Watch,https://perma.cc/MGE7-4X7T,4
33.66216698,-7.421005944,2,2025.MMP1004,Northern Africa,01/09/2025,2025,September,2,0,2,,,,Mixed/Unknown,Sub-Saharan Africa (P),Violence,Morocco,,"Unspecified location in Ain Harrouda, a city in northeast of Casablanca, Morocco","Morocco World News, HessPress","https://perma.cc/VL7R-8HR7, https://perma.cc/4WYS-3528, https://perma.cc/Y4X3-TGPC",3
11.4930497,42.352499,2,2025.MMP1068,Eastern Africa,01/09/2025,2025,September,,2,2,,2,,Ethiopia,Eastern Africa,Mixed or unknown,Djibouti,Eastern Route to/from EHOA,"Obock, Djibouti",IOM Djibouti (Migrant Response Center during Mobile patrol),,4
-19.26849557,-68.61064762,1,2025.MMP1103,South America,01/09/2025,2025,September,1,0,1,1,,,Venezuela (Bolivarian Republic of),South America,"Harsh environmental conditions / lack of adequate shelter, food, water",Bolivia (Plurinational State of),,"Off National Highway 12 Oruro-Pisiga, Pisiga, Bolivia","IOM Bolivia, Pisiga Provincial Police",,5
35.6984953,51.3981554,1,2025.MMP1880,Southern Asia,01/09/2025,2025,September,1,0,1,1,0,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Enqelab district, Tehran province, Iran",IOM Afghanistan,,4
35.5436935,51.0599395,1,2025.MMP1881,Southern Asia,01/09/2025,2025,September,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Manzil Abad district, Khorasan province, Iran",IOM Afghanistan,,4
35.7002774,51.3653786,1,2025.MMP1882,Southern Asia,01/09/2025,2025,September,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Azadi district, Tehran province, Iran",IOM Afghanistan,,4
27.9407704,57.6995447,1,2025.MMP1883,Southern Asia,01/09/2025,2025,September,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Kahnuj district, Kerman province, Iran",IOM Afghanistan,,4
35.49424679,12.60062149,1,2025.MMP2304,Mediterranean,01/09/2025,2025,September,1,0,1,,1,,Bangladesh,Southern Asia,Vehicle accident / death linked to hazardous transport,Italy,Central Mediterranean,"Unspecified location off Lampedusa, Italy","InfoMigrants, Deshrupantor","https://perma.cc/55DW-J6NL, https://www.deshrupantor.com/619508/%E0%A6%AD%E0%A7%82%E0%A6%AE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%B8%E0%A6%BE%E0%A6%97%E0%A6%B0-%E0%A6%AA%E0%A6%BE%E0%A7%9C%E0%A6%BF-%E0%A6%A6%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%97%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%BF%E0%A6%B0-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81",3
35.49424679,12.60062149,1,2025.MMP2304,Mediterranean,01/09/2025,2025,September,,1,1,,,,Unknown,Unknown,Drowning,Italy,Central Mediterranean,"Unspecified location off Lampedusa, Italy","InfoMigrants, Deshrupantor","https://perma.cc/55DW-J6NL, https://www.deshrupantor.com/619508/%E0%A6%AD%E0%A7%82%E0%A6%AE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%B8%E0%A6%BE%E0%A6%97%E0%A6%B0-%E0%A6%AA%E0%A6%BE%E0%A7%9C%E0%A6%BF-%E0%A6%A6%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%97%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%BF%E0%A6%B0-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81",3
34.09597069,24.01074122,1,2025.MMP2407,Mediterranean,01/09/2025,2025,September,,1,1,,,,Unknown,Unknown,Drowning,Greece,Eastern Mediterranean,"44 nautical miles south of Gavdos, Greece","Hellenic Coast Guard, Alarm Phone","https://perma.cc/7FQR-JUHR, https://perma.cc/Z48H-EWU8",5
11.505737,42.251843,1,2025.MMP1624,Eastern Africa,01/10/2025,2025,October,1,0,1,,1,,Ethiopia,Eastern Africa,Sickness / lack of access to adequate healthcare,Djibouti,Eastern Route to/from EHOA,"Tadjourah, Djibouti",IOM Djibouti Displacement Tracking Matrix,,5
35.8438581,50.9714995,1,2025.MMP1960,Southern Asia,01/10/2025,2025,October,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Karaj district, Alborz province, Iran",IOM Afghanistan,,4
27.3688908,62.3385305,1,2025.MMP1961,Southern Asia,01/10/2025,2025,October,1,0,1,0,1,0,Afghanistan,Southern Asia,"Harsh environmental conditions / lack of adequate shelter, food, water",Iran (Islamic Republic of),Afghanistan to Iran,"Saravan district, Sistan_and_Baluchestan province, Iran",IOM Afghanistan,,4
34.6415764,50.8746035,1,2025.MMP1962,Southern Asia,01/10/2025,2025,October,1,0,1,0,1,0,Afghanistan,Southern Asia,Sickness / lack of access to adequate healthcare,Iran (Islamic Republic of),Afghanistan to Iran,"Qom district, Qom province, Iran",IOM Afghanistan,,4
